brandid,query,date,params,querytype
191928,Who is the audience of GJEL Accident Attorneys,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of GJEL Accident Attorneys"",""returnType"":1}",audience
191929,Andy Gillin,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Andy Gillin"",""returnType"":1}",basic
191929,Who is Andy Gillin,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Andy Gillin"",""returnType"":1}",verboseaccurate
191929,What are Andy Gillin professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Andy Gillin professions"",""returnType"":1}",professions
191929,Who is the audience of Andy Gillin,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Andy Gillin"",""returnType"":1}",audience
191963,Mini Rodini,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Mini Rodini"",""returnType"":1}",basic
191963,What is Mini Rodini,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Mini Rodini"",""returnType"":1}",verboseaccurate
191963,Who is the audience of Mini Rodini,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Mini Rodini"",""returnType"":1}",audience
191968,SeoProfy,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""SeoProfy"",""returnType"":1}",basic
191968,What is SeoProfy,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is SeoProfy"",""returnType"":1}",verboseaccurate
191968,Who is the audience of SeoProfy,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of SeoProfy"",""returnType"":1}",audience
191979,Zoe Rose,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Zoe Rose"",""returnType"":1}",basic
191979,Zoe Rose Brightray,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Zoe Rose Brightray"",""returnType"":1}",qualifier
191979,Who is Zoe Rose,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Zoe Rose"",""returnType"":1}",verboseaccurate
191979,What are Zoe Rose professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Zoe Rose professions"",""returnType"":1}",professions
191979,Who is Zoe Rose Brightray,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Zoe Rose Brightray"",""returnType"":1}",verboseaccurate
191979,Who is the audience of Zoe Rose,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Zoe Rose"",""returnType"":1}",audience
191980,Brand SERPs Foundation,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Brand SERPs Foundation"",""returnType"":1}",basic
191980,Brand SERPs Foundation Course,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Brand SERPs Foundation Course"",""returnType"":1}",qualifier
191980,What is Brand SERPs Foundation,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Brand SERPs Foundation"",""returnType"":1}",verboseaccurate
191980,What is Brand SERPs Foundation Course,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Brand SERPs Foundation Course"",""returnType"":1}",qualifier
191980,Who is the audience of Brand SERPs Foundation,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Brand SERPs Foundation"",""returnType"":1}",audience
191981,Triggering and Optimising Rich Elements (SERP Features),8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Triggering and Optimising Rich Elements (SERP Features)"",""returnType"":1}",basic
191981,Triggering and Optimising Rich Elements (SERP Features) Course,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Triggering and Optimising Rich Elements (SERP Features) Course"",""returnType"":1}",qualifier
191981,What is Triggering and Optimising Rich Elements (SERP Features),8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Triggering and Optimising Rich Elements (SERP Features)"",""returnType"":1}",verboseaccurate
191981,What is Triggering and Optimising Rich Elements (SERP Features) Course,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Triggering and Optimising Rich Elements (SERP Features) Course"",""returnType"":1}",qualifier
191981,Who is the audience of Triggering and Optimising Rich Elements (SERP Features),8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Triggering and Optimising Rich Elements (SERP Features)"",""returnType"":1}",audience
191982,Dealing With Negative and Sub-Optimal Results,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Dealing With Negative and Sub-Optimal Results"",""returnType"":1}",basic
191982,Dealing With Negative and Sub-Optimal Results Course,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Dealing With Negative and Sub-Optimal Results Course"",""returnType"":1}",qualifier
191982,What is Dealing With Negative and Sub-Optimal Results,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Dealing With Negative and Sub-Optimal Results"",""returnType"":1}",verboseaccurate
191982,What is Dealing With Negative and Sub-Optimal Results Course,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Dealing With Negative and Sub-Optimal Results Course"",""returnType"":1}",qualifier
191982,Who is the audience of Dealing With Negative and Sub-Optimal Results,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Dealing With Negative and Sub-Optimal Results"",""returnType"":1}",audience
180352,Une Nuit Tranquille Chez Les Barking Dogs,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Une Nuit Tranquille Chez Les Barking Dogs"",""returnType"":1}",basic
180352,Une Nuit Tranquille Chez Les Barking Dogs Barking,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Une Nuit Tranquille Chez Les Barking Dogs Barking"",""returnType"":1}",qualifier
180352,What is Une Nuit Tranquille Chez Les Barking Dogs,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Une Nuit Tranquille Chez Les Barking Dogs"",""returnType"":1}",verboseaccurate
180352,What is Une Nuit Tranquille Chez Les Barking Dogs Barking,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Une Nuit Tranquille Chez Les Barking Dogs Barking"",""returnType"":1}",qualifier
180352,Who is the audience of Une Nuit Tranquille Chez Les Barking Dogs,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Une Nuit Tranquille Chez Les Barking Dogs"",""returnType"":1}",audience
192051,Poker Face,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Poker Face"",""returnType"":1}",basic
192051,Poker Face Josie,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Poker Face Josie"",""returnType"":1}",qualifier
192051,What is Poker Face,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Poker Face"",""returnType"":1}",verboseaccurate
192051,What is Poker Face Josie,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Poker Face Josie"",""returnType"":1}",qualifier
192051,Who is the audience of Poker Face,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Poker Face"",""returnType"":1}",audience
192052,The Book of Friendship,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""The Book of Friendship"",""returnType"":1}",basic
192052,The Book of Friendship Josie,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""The Book of Friendship Josie"",""returnType"":1}",qualifier
192052,What is The Book of Friendship,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is The Book of Friendship"",""returnType"":1}",verboseaccurate
192052,What is The Book of Friendship Josie,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is The Book of Friendship Josie"",""returnType"":1}",qualifier
192052,Who is the audience of The Book of Friendship,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of The Book of Friendship"",""returnType"":1}",audience
192057,UpToTen,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""UpToTen"",""returnType"":1}",basic
192057,What is UpToTen,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is UpToTen"",""returnType"":1}",verboseaccurate
192057,Who is the audience of UpToTen,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of UpToTen"",""returnType"":1}",audience
192058,WTPL Music,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""WTPL Music"",""returnType"":1}",basic
192058,What is WTPL Music,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is WTPL Music"",""returnType"":1}",verboseaccurate
192058,Who is the audience of WTPL Music,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of WTPL Music"",""returnType"":1}",audience
192066,Sara Moccand-Sayegh,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Sara Moccand-Sayegh"",""returnType"":1}",basic
192066,Sara Moccand-Sayegh Seo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Sara Moccand-Sayegh Seo"",""returnType"":1}",qualifier
192066,Who is Sara Moccand-Sayegh,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Sara Moccand-Sayegh"",""returnType"":1}",verboseaccurate
192066,What are Sara Moccand-Sayegh professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Sara Moccand-Sayegh professions"",""returnType"":1}",professions
192066,Who is Sara Moccand-Sayegh Seo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Sara Moccand-Sayegh Seo"",""returnType"":1}",verboseaccurate
192066,Who is the audience of Sara Moccand-Sayegh,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Sara Moccand-Sayegh"",""returnType"":1}",audience
194727,BetterMe,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""BetterMe"",""returnType"":1}",basic
194727,What is BetterMe,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is BetterMe"",""returnType"":1}",verboseaccurate
194727,Who is the audience of BetterMe,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of BetterMe"",""returnType"":1}",audience
194982,Resultant Inc.,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Resultant Inc."",""returnType"":1}",basic
194982,What is Resultant Inc.,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Resultant Inc."",""returnType"":1}",verboseaccurate
194982,Who is the audience of Resultant Inc.,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Resultant Inc."",""returnType"":1}",audience
194985,BARK!,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""BARK!"",""returnType"":1}",basic
194985,BARK! Barking,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""BARK! Barking"",""returnType"":1}",qualifier
194985,What is BARK!,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is BARK!"",""returnType"":1}",verboseaccurate
194985,What is BARK! Barking,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is BARK! Barking"",""returnType"":1}",qualifier
194985,Who is the audience of BARK!,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of BARK!"",""returnType"":1}",audience
194986,LIVE!,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""LIVE!"",""returnType"":1}",basic
194986,LIVE! Barking,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""LIVE! Barking"",""returnType"":1}",qualifier
194986,What is LIVE!,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is LIVE!"",""returnType"":1}",verboseaccurate
194986,What is LIVE! Barking,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is LIVE! Barking"",""returnType"":1}",qualifier
194986,Who is the audience of LIVE!,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of LIVE!"",""returnType"":1}",audience
194987,Spasm,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Spasm"",""returnType"":1}",basic
194987,Spasm Barking,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Spasm Barking"",""returnType"":1}",qualifier
194987,What is Spasm,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Spasm"",""returnType"":1}",verboseaccurate
194987,What is Spasm Barking,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Spasm Barking"",""returnType"":1}",qualifier
194987,Who is the audience of Spasm,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Spasm"",""returnType"":1}",audience
194989,Alex Sanfilippo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Alex Sanfilippo"",""returnType"":1}",basic
194989,Who is Alex Sanfilippo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Alex Sanfilippo"",""returnType"":1}",verboseaccurate
194989,What are Alex Sanfilippo professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Alex Sanfilippo professions"",""returnType"":1}",professions
194989,Who is the audience of Alex Sanfilippo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Alex Sanfilippo"",""returnType"":1}",audience
194990,PodPros Productions,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""PodPros Productions"",""returnType"":1}",basic
194990,What is PodPros Productions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is PodPros Productions"",""returnType"":1}",verboseaccurate
194990,Who is the audience of PodPros Productions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of PodPros Productions"",""returnType"":1}",audience
194991,Podcasting Made Simple,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Podcasting Made Simple"",""returnType"":1}",basic
194991,What is Podcasting Made Simple,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Podcasting Made Simple"",""returnType"":1}",verboseaccurate
194991,Who is the audience of Podcasting Made Simple,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Podcasting Made Simple"",""returnType"":1}",audience
195290,Olga Zarr,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Olga Zarr"",""returnType"":1}",basic
195290,Olga Zarr Seo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Olga Zarr Seo"",""returnType"":1}",qualifier
195290,Who is Olga Zarr,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Olga Zarr"",""returnType"":1}",verboseaccurate
195290,What are Olga Zarr professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Olga Zarr professions"",""returnType"":1}",professions
195290,Who is Olga Zarr Seo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Olga Zarr Seo"",""returnType"":1}",verboseaccurate
195290,Who is the audience of Olga Zarr,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Olga Zarr"",""returnType"":1}",audience
195291,Olga Zarzeczna,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Olga Zarzeczna"",""returnType"":1}",basic
195291,Who is Olga Zarzeczna,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Olga Zarzeczna"",""returnType"":1}",verboseaccurate
195291,What are Olga Zarzeczna professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Olga Zarzeczna professions"",""returnType"":1}",professions
195291,Who is the audience of Olga Zarzeczna,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Olga Zarzeczna"",""returnType"":1}",audience
195292,LHD,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""LHD"",""returnType"":1}",basic
195292,What is LHD,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is LHD"",""returnType"":1}",verboseaccurate
195292,Who is the audience of LHD,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of LHD"",""returnType"":1}",audience
195304,MiraVista Diagnostics,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""MiraVista Diagnostics"",""returnType"":1}",basic
195304,MiraVista Diagnostics Clinical,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""MiraVista Diagnostics Clinical"",""returnType"":1}",qualifier
195304,What is MiraVista Diagnostics,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is MiraVista Diagnostics"",""returnType"":1}",verboseaccurate
195304,What is MiraVista Diagnostics Clinical,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is MiraVista Diagnostics Clinical"",""returnType"":1}",qualifier
195304,Who is the audience of MiraVista Diagnostics,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of MiraVista Diagnostics"",""returnType"":1}",audience
196228,Branded Search and Beyond with Jason Barnard,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Branded Search and Beyond with Jason Barnard"",""returnType"":1}",basic
196228,What is Branded Search and Beyond with Jason Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Branded Search and Beyond with Jason Barnard"",""returnType"":1}",verboseaccurate
196228,Who is the audience of Branded Search and Beyond with Jason Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Branded Search and Beyond with Jason Barnard"",""returnType"":1}",audience
196882,Gert Mellak,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Gert Mellak"",""returnType"":1}",basic
196882,Gert Mellak Seo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Gert Mellak Seo"",""returnType"":1}",qualifier
196882,Who is Gert Mellak,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Gert Mellak"",""returnType"":1}",verboseaccurate
196882,What are Gert Mellak professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Gert Mellak professions"",""returnType"":1}",professions
196882,Who is Gert Mellak Seo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Gert Mellak Seo"",""returnType"":1}",verboseaccurate
196882,Who is the audience of Gert Mellak,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Gert Mellak"",""returnType"":1}",audience
196888,Ed Trifone,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Ed Trifone"",""returnType"":1}",basic
196888,Who is Ed Trifone,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Ed Trifone"",""returnType"":1}",verboseaccurate
196888,What are Ed Trifone professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Ed Trifone professions"",""returnType"":1}",professions
196888,Who is the audience of Ed Trifone,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Ed Trifone"",""returnType"":1}",audience
113430,Jason M Barnard,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Jason M Barnard"",""returnType"":1}",basic
113430,Who is Jason M Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Jason M Barnard"",""returnType"":1}",verboseaccurate
113430,What are Jason M Barnard professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Jason M Barnard professions"",""returnType"":1}",professions
113430,Who is the audience of Jason M Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Jason M Barnard"",""returnType"":1}",audience
196898,Seoleverage,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Seoleverage"",""returnType"":1}",basic
196898,What is Seoleverage,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Seoleverage"",""returnType"":1}",verboseaccurate
196898,Who is the audience of Seoleverage,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Seoleverage"",""returnType"":1}",audience
197171,Jonathan Cronstedt,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Jonathan Cronstedt"",""returnType"":1}",basic
197171,Who is Jonathan Cronstedt,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Jonathan Cronstedt"",""returnType"":1}",verboseaccurate
197171,What are Jonathan Cronstedt professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Jonathan Cronstedt professions"",""returnType"":1}",professions
197171,Who is the audience of Jonathan Cronstedt,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Jonathan Cronstedt"",""returnType"":1}",audience
197179,IT Sistemas,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""IT Sistemas"",""returnType"":1}",basic
197179,IT Sistemas Fabricante De Mamparas De Oficina,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""IT Sistemas Fabricante De Mamparas De Oficina"",""returnType"":1}",qualifier
197179,What is IT Sistemas,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is IT Sistemas"",""returnType"":1}",verboseaccurate
197179,What is IT Sistemas Fabricante De Mamparas De Oficina,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is IT Sistemas Fabricante De Mamparas De Oficina"",""returnType"":1}",qualifier
197179,Who is the audience of IT Sistemas,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of IT Sistemas"",""returnType"":1}",audience
197184,Jason Khoo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Jason Khoo"",""returnType"":1}",basic
197184,Who is Jason Khoo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Jason Khoo"",""returnType"":1}",verboseaccurate
197184,What are Jason Khoo professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Jason Khoo professions"",""returnType"":1}",professions
197184,Who is the audience of Jason Khoo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Jason Khoo"",""returnType"":1}",audience
197192,IDS Fulfillment,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""IDS Fulfillment"",""returnType"":1}",basic
197192,What is IDS Fulfillment,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is IDS Fulfillment"",""returnType"":1}",verboseaccurate
197192,Who is the audience of IDS Fulfillment,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of IDS Fulfillment"",""returnType"":1}",audience
197197,Kevin Moehlenkamp,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kevin Moehlenkamp"",""returnType"":1}",basic
197197,Who is Kevin Moehlenkamp,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Kevin Moehlenkamp"",""returnType"":1}",verboseaccurate
197197,What are Kevin Moehlenkamp professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Kevin Moehlenkamp professions"",""returnType"":1}",professions
197197,Who is the audience of Kevin Moehlenkamp,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Kevin Moehlenkamp"",""returnType"":1}",audience
197198,Brown  Pratt,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Brown  Pratt"",""returnType"":1}",basic
197198,What is Brown  Pratt,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Brown  Pratt"",""returnType"":1}",verboseaccurate
197198,Who is the audience of Brown  Pratt,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Brown  Pratt"",""returnType"":1}",audience
197348,JCron,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""JCron"",""returnType"":1}",basic
197348,Who is JCron,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is JCron"",""returnType"":1}",verboseaccurate
197348,What are JCron professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are JCron professions"",""returnType"":1}",professions
197348,Who is the audience of JCron,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of JCron"",""returnType"":1}",audience
193570,Zupo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Zupo"",""returnType"":1}",basic
193570,What is Zupo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Zupo"",""returnType"":1}",verboseaccurate
193570,Who is the audience of Zupo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Zupo"",""returnType"":1}",audience
197411,Gabe Plotkin,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Gabe Plotkin"",""returnType"":1}",basic
197411,Gabe Plotkin Businessman,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Gabe Plotkin Businessman"",""returnType"":1}",qualifier
197411,Who is Gabe Plotkin,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Gabe Plotkin"",""returnType"":1}",verboseaccurate
197411,What are Gabe Plotkin professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Gabe Plotkin professions"",""returnType"":1}",professions
197411,Who is Gabe Plotkin Businessman,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Gabe Plotkin Businessman"",""returnType"":1}",verboseaccurate
197411,Who is the audience of Gabe Plotkin,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Gabe Plotkin"",""returnType"":1}",audience
197412,Gabriel Plotkin,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Gabriel Plotkin"",""returnType"":1}",basic
197412,Gabriel Plotkin Businessman,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Gabriel Plotkin Businessman"",""returnType"":1}",qualifier
197412,Who is Gabriel Plotkin,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Gabriel Plotkin"",""returnType"":1}",verboseaccurate
197412,What are Gabriel Plotkin professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Gabriel Plotkin professions"",""returnType"":1}",professions
197412,Who is Gabriel Plotkin Businessman,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Gabriel Plotkin Businessman"",""returnType"":1}",verboseaccurate
197412,Who is the audience of Gabriel Plotkin,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Gabriel Plotkin"",""returnType"":1}",audience
197415,Courus,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Courus"",""returnType"":1}",basic
